"VACCINE_GROUP","NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","NOTES"
"Flu","Cypress Hills/East New York",11207,30,"11207","5 - 12 years",2843,9614,"2023 - 24","Q2",NA
"Flu","Cypress Hills/East New York",11208,32,"11208","5 - 12 years",3781,11684,"2023 - 24","Q2",NA
"Flu","Bay Ridge/Fort Hamilton",11209,33,"11209","5 - 12 years",1926,5812,"2023 - 24","Q2",NA
"Flu","Flatlands/Midwood",11210,25,"11210","5 - 12 years",1674,6646,"2023 - 24","Q2",NA
"Flu","East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,13,"11211, 11249","5 - 12 years",1504,11897,"2023 - 24","Q2",NA
"Flu","Ocean Hill-Brownsville",11212,30,"11212","5 - 12 years",2547,8363,"2023 - 24","Q2",NA
"Flu","Crown Heights (East)",11213,16,"11213","5 - 12 years",1128,7081,"2023 - 24","Q2",NA
"Flu","Bath Beach/Bensonhurst/Gravesend",11214,48,"11214","5 - 12 years",3992,8257,"2023 - 24","Q2",NA
"Flu","Gowanus/Park Slope/Windsor Terrace",11215,69,"11215","5 - 12 years",3697,5344,"2023 - 24","Q2",NA
"Flu","Bedford-Stuyvesant (West)/Crown Heights (West)",11216,24,"11216","5 - 12 years",933,3913,"2023 - 24","Q2",NA
"Flu","Boerum Hill/Park Slope",11217,54,"11217, 11243","5 - 12 years",1333,2479,"2023 - 24","Q2",NA
"Flu","Kensington/Windsor Terrace",11218,36,"11218","5 - 12 years",3201,8872,"2023 - 24","Q2",NA
"Flu","Borough Park",11219,27,"11219","5 - 12 years",3901,14556,"2023 - 24","Q2",NA
"Flu","Sunset Park",11220,88,"11220","5 - 12 years",7942,8997,"2023 - 24","Q2",NA
"Flu","Bedford-Stuyvesant (East)/Bushwick",11221,27,"11221","5 - 12 years",1993,7446,"2023 - 24","Q2",NA
"Flu","Greenpoint",11222,44,"11222","5 - 12 years",816,1872,"2023 - 24","Q2",NA
"Flu","Gravesend/Homecrest",11223,37,"11223","5 - 12 years",3046,8230,"2023 - 24","Q2",NA
"Flu","Brighton Beach/Coney Island/Seagate",11224,27,"11224","5 - 12 years",1013,3712,"2023 - 24","Q2",NA
"Flu","Crown Heights (West)/Prospect Lefferts Gardens",11225,23,"11225","5 - 12 years",1101,4889,"2023 - 24","Q2",NA
"Flu","Flatbush/Prospect Lefferts Gardens",11226,35,"11226","5 - 12 years",2860,8117,"2023 - 24","Q2",NA
"Flu","Bath Beach/Dyker Heights",11228,46,"11228","5 - 12 years",1978,4299,"2023 - 24","Q2",NA
"Flu","Gerritsen Beach/Homecrest/Sheepshead Bay",11229,30,"11229","5 - 12 years",2308,7635,"2023 - 24","Q2",NA
"Flu","Midwood",11230,28,"11230","5 - 12 years",2954,10603,"2023 - 24","Q2",NA
"Flu","Carroll Gardens/Cobble Hill/Red Hook",11231,59,"11231","5 - 12 years",1701,2890,"2023 - 24","Q2",NA
"Flu","Sunset Park",11232,64,"11232","5 - 12 years",1485,2328,"2023 - 24","Q2",NA
