"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Morris Park/Pelham Bay/Westchester Square",10461,44,"10461","6 months - 17 years",1,4524,10269.22,"2021 - 22","Q2","Flu",
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,52,"10462","6 months - 17 years",1,8336,15886.79,"2021 - 22","Q2","Flu",
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,52,"10463","6 months - 17 years",1,6524,12521.51,"2021 - 22","Q2","Flu",
"City Island",10464,99,"10464","6 months - 17 years",1,1441,749.5,"2021 - 22","Q2","Flu",
"Country Club/Throgs Neck",10465,32,"10465","6 months - 17 years",1,3108,9712.64,"2021 - 22","Q2","Flu",
"Edenwald/Wakefield",10466,35,"10466","6 months - 17 years",1,5753,16263.81,"2021 - 22","Q2","Flu",
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,49,"10467","6 months - 17 years",1,10659,21848.33,"2021 - 22","Q2","Flu",
"Fordham/Kingsbridge/University Heights",10468,46,"10468","6 months - 17 years",1,8673,18775.51,"2021 - 22","Q2","Flu",
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,37,"10469","6 months - 17 years",1,5401,14599.85,"2021 - 22","Q2","Flu",
"Wakefield/Woodlawn",10470,45,"10470","6 months - 17 years",1,1367,3061.21,"2021 - 22","Q2","Flu",
"Fieldston/North Riverdale/Riverdale",10471,51,"10471","6 months - 17 years",1,1916,3771.7,"2021 - 22","Q2","Flu",
"Soundview",10472,60,"10472","6 months - 17 years",1,8869,14871.31,"2021 - 22","Q2","Flu",
"Castle Hill/Clason Point/Soundview",10473,38,"10473","6 months - 17 years",1,5025,13155.47,"2021 - 22","Q2","Flu",
"Hunts Point",10474,55,"10474","6 months - 17 years",1,1558,2841.11,"2021 - 22","Q2","Flu",
"Co-op City/Edenwald",10475,37,"10475","6 months - 17 years",1,2294,6194.52,"2021 - 22","Q2","Flu",
