"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Douglaston-Little Neck",11363,14,"11363","13 years",13,95.71,2021,"Q2","HPV",""
"Bayside (South)/Oakland Gardens",11364,33,"11364","13 years",148,448.77,2021,"Q2","HPV",""
"Auburndale/Fresh Meadows/Pomonok/Utopia",11365,46,"11365","13 years",236,510.77,2021,"Q2","HPV",""
"Fresh Meadows/Hillcrest",11366,39,"11366","13 years",55,139.73,2021,"Q2","HPV",""
"Kew Gardens Hills/Pomonok",11367,39,"11367","13 years",179,459.97,2021,"Q2","HPV",""
"Corona/North Corona",11368,99,"11368","13 years",1358,1285.93,2021,"Q2","HPV",""
"Airport/East Elmhurst",11369,90,"11369","13 years",327,363.81,2021,"Q2","HPV",""
"Jackson Heights/Rikers Island",11370,73,"11370","13 years",179,244.88,2021,"Q2","HPV",""
"Jackson Heights",11372,87,"11372","13 years",519,594.08,2021,"Q2","HPV",""
"Elmhurst",11373,97,"11373","13 years",917,942.81,2021,"Q2","HPV",""
"Rego Park",11374,47,"11374","13 years",169,359.44,2021,"Q2","HPV",""
"Forest Hills",11375,30,"11375","13 years",162,532.57,2021,"Q2","HPV",""
"Woodside",11377,72,"11377","13 years",588,815.56,2021,"Q2","HPV",""
"Maspeth",11378,37,"11378","13 years",173,465.37,2021,"Q2","HPV",""
"Middle Village",11379,24,"11379","13 years",101,414.82,2021,"Q2","HPV",""
"Glendale/Ridgewood",11385,31,"11385","13 years",434,1390.36,2021,"Q2","HPV",""
"Cambria Heights",11411,37,"11411","13 years",77,208.04,2021,"Q2","HPV",""
"St. Albans",11412,36,"11412","13 years",173,483.26,2021,"Q2","HPV",""
"Laurelton/Rosedale",11413,33,"11413","13 years",177,536.81,2021,"Q2","HPV",""
"Hamilton Beach/Howard Beach/Lindenwood",11414,20,"11414","13 years",66,333.33,2021,"Q2","HPV",""
"Kew Gardens",11415,34,"11415","13 years",63,186.22,2021,"Q2","HPV",""
"Ozone Park",11416,54,"11416","13 years",212,390.51,2021,"Q2","HPV",""
"Ozone Park",11417,40,"11417","13 years",171,424.25,2021,"Q2","HPV",""
"Richmond Hill",11418,66,"11418","13 years",297,449.37,2021,"Q2","HPV",""
"Richmond Hill/South Ozone Park",11419,50,"11419","13 years",299,603.51,2021,"Q2","HPV",""
"South Ozone Park",11420,43,"11420","13 years",275,636.03,2021,"Q2","HPV",""
"Woodhaven",11421,53,"11421","13 years",302,569.15,2021,"Q2","HPV",""
"Rosedale",11422,29,"11422","13 years",117,402.27,2021,"Q2","HPV",""
"Hollis/Holliswood",11423,57,"11423","13 years",183,322.65,2021,"Q2","HPV",""
"Bellerose",11426,37,"11426","13 years",89,237.56,2021,"Q2","HPV",""
"Bellerose/Hollis Hills/Holliswood",11427,39,"11427","13 years",104,266.29,2021,"Q2","HPV",""
"Queens Village",11428,44,"11428","13 years",99,226.29,2021,"Q2","HPV",""
"Queens Village",11429,64,"11001, 11429","13 years",199,308.81,2021,"Q2","HPV",""
"Hillcrest/Jamaica Estates/Jamaica Hills",11432,84,"11432","13 years",538,641.11,2021,"Q2","HPV",""
"Jamaica",11433,50,"11433","13 years",263,529.18,2021,"Q2","HPV",""
"Airport/South Jamaica/Springfield Gardens/St. Albans",11434,44,"11434","13 years",355,812.83,2021,"Q2","HPV",""
"Briarwood/Jamaica",11435,61,"11435","13 years",376,620.7,2021,"Q2","HPV",""
"South Jamaica/South Ozone Park",11436,49,"11436","13 years",138,283.68,2021,"Q2","HPV",""
"Edgemere/Far Rockaway",11691,47,"11691","13 years",471,992.34,2021,"Q2","HPV",""
"Arverne/Edgemere",11692,47,"11692","13 years",163,349.35,2021,"Q2","HPV",""
"Arverne/Broad Channel",11693,28,"11693","13 years",48,172.45,2021,"Q2","HPV",""
"Belle Harbor-Neponsit/Rockaway Park",11694,21,"11694","13 years",57,273.46,2021,"Q2","HPV",""
"Breezy Point",11697,20,"11697","13 years",11,54.36,2021,"Q2","HPV",""
