"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Gowanus/Park Slope/Windsor Terrace",11215,45,"11215","13 years","2 or 3",237,522.92,2026,"Q2","HPV",""
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,39,"11216","13 years","2 or 3",175,453.87,2026,"Q2","HPV",""
"Boerum Hill/Park Slope",11217,51,"11217, 11243","13 years","2 or 3",130,255.71,2026,"Q2","HPV",""
"Kensington/Windsor Terrace",11218,30,"11218","13 years","2 or 3",294,978.97,2026,"Q2","HPV",""
"Borough Park",11219,30,"11219","13 years","2 or 3",491,1618.6,2026,"Q2","HPV",""
"Sunset Park",11220,99,"11220","13 years","2 or 3",1211,1066.41,2026,"Q2","HPV",""
"Bedford-Stuyvesant (East)/Bushwick",11221,38,"11221","13 years","2 or 3",371,981.04,2026,"Q2","HPV",""
"Greenpoint",11222,31,"11222","13 years","2 or 3",87,276.47,2026,"Q2","HPV",""
"Gravesend/Homecrest",11223,31,"11223","13 years","2 or 3",307,987.25,2026,"Q2","HPV",""
"Brighton Beach/Coney Island/Seagate",11224,30,"11224","13 years","2 or 3",161,529.76,2026,"Q2","HPV",""
"Crown Heights (West)/Prospect Lefferts Gardens",11225,26,"11225","13 years","2 or 3",147,566.57,2026,"Q2","HPV",""
"Flatbush/Prospect Lefferts Gardens",11226,48,"11226","13 years","2 or 3",465,961.85,2026,"Q2","HPV",""
"Bath Beach/Dyker Heights",11228,58,"11228","13 years","2 or 3",310,536.47,2026,"Q2","HPV",""
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,19,"11229","13 years","2 or 3",189,985.45,2026,"Q2","HPV",""
"Midwood",11230,19,"11230","13 years","2 or 3",241,1301.07,2026,"Q2","HPV",""
"Carroll Gardens/Cobble Hill/Red Hook",11231,59,"11231","13 years","2 or 3",177,300.41,2026,"Q2","HPV",""
"Sunset Park",11232,86,"11232","13 years","2 or 3",221,256.92,2026,"Q2","HPV",""
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,38,"11233","13 years","2 or 3",359,940.85,2026,"Q2","HPV",""
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,21,"11234","13 years","2 or 3",225,1055.51,2026,"Q2","HPV",""
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,25,"11235","13 years","2 or 3",184,745.97,2026,"Q2","HPV",""
"Canarsie",11236,34,"11236","13 years","2 or 3",369,1084.65,2026,"Q2","HPV",""
"Bushwick/East Williamsburg",11237,66,"11237","13 years","2 or 3",303,459.78,2026,"Q2","HPV",""
"Clinton Hill/Prospect Heights",11238,52,"11238","13 years","2 or 3",149,288.72,2026,"Q2","HPV",""
"East New York",11239,58,"11239","13 years","2 or 3",96,164.96,2026,"Q2","HPV",""
"Flushing/Murray Hill",11354,79,"11354","13 years","2 or 3",314,397.21,2026,"Q2","HPV",""
"Flushing/Murray Hill/Queensboro Hill",11355,90,"11355","13 years","2 or 3",596,662.08,2026,"Q2","HPV",""
"College Point",11356,73,"11356","13 years","2 or 3",233,317.65,2026,"Q2","HPV",""
