"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Hell's Kitchen/Midtown Manhattan",10018,99,"10018","24 - 35 months",4,43,41.27,2026,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Hell's Kitchen/Midtown Manhattan",10019,99,"10019, 10020","24 - 35 months",4,269,249.17,2026,"Q2","DTaP",""
"Lenox Hill/Upper East Side",10021,99,"10021","24 - 35 months",4,354,308.41,2026,"Q2","DTaP",""
"East Midtown",10022,99,"10022","24 - 35 months",4,227,211.42,2026,"Q2","DTaP",""
"Lincoln Square",10023,85,"10023","24 - 35 months",4,505,595.97,2026,"Q2","DTaP",""
"Upper West Side",10024,90,"10024","24 - 35 months",4,492,547.69,2026,"Q2","DTaP",""
"Manhattan Valley/Morningside Heights/Upper West Side",10025,83,"10025","24 - 35 months",4,554,664.55,2026,"Q2","DTaP",""
"Central Harlem (South)",10026,57,"10026","24 - 35 months",4,220,383.09,2026,"Q2","DTaP",""
"Central Harlem (South)/Morningside Heights/West Harlem",10027,63,"10027","24 - 35 months",4,359,570.32,2026,"Q2","DTaP",""
"Upper East Side/Yorkville",10028,99,"10028","24 - 35 months",4,354,318.85,2026,"Q2","DTaP",""
"East Harlem",10029,67,"10029","24 - 35 months",4,495,740.35,2026,"Q2","DTaP",""
"Central Harlem (North)",10030,42,"10030","24 - 35 months",4,148,351.61,2026,"Q2","DTaP",""
"Hamilton Heights/West Harlem",10031,66,"10031","24 - 35 months",4,338,515.97,2026,"Q2","DTaP",""
"Washington Heights (South)",10032,65,"10032","24 - 35 months",4,314,479.52,2026,"Q2","DTaP",""
"Washington Heights (North)/Washington Heights (South)",10033,71,"10033","24 - 35 months",4,358,502.22,2026,"Q2","DTaP",""
"Inwood/Washington Heights (North)",10034,73,"10034","24 - 35 months",4,264,362.58,2026,"Q2","DTaP",""
"East Harlem",10035,58,"10035","24 - 35 months",4,222,381.29,2026,"Q2","DTaP",""
"Hell's Kitchen/Midtown Manhattan",10036,99,"10036","24 - 35 months",4,155,155.62,2026,"Q2","DTaP",""
"Central Harlem (North)/East Harlem",10037,74,"10037","24 - 35 months",4,124,167.34,2026,"Q2","DTaP",""
"Chinatown/Financial District",10038,69,"10038","24 - 35 months",4,94,137.2,2026,"Q2","DTaP",""
"Central Harlem (North)/Washington Heights (South)",10039,52,"10039","24 - 35 months",4,180,348.79,2026,"Q2","DTaP",""
"Washington Heights (North)",10040,71,"10040","24 - 35 months",4,273,386.85,2026,"Q2","DTaP",""
"Roosevelt Island",10044,99,"10044","24 - 35 months",4,126,97.48,2026,"Q2","DTaP",""
"Lenox Hill/Upper East Side",10065,99,"10065","24 - 35 months",4,364,246.14,2026,"Q2","DTaP",""
"Lincoln Square",10069,99,"10069","24 - 35 months",4,89,61.58,2026,"Q2","DTaP",""
"Lenox Hill/Upper East Side",10075,99,"10075, 10162","24 - 35 months",4,219,180.1,2026,"Q2","DTaP",""
"Upper East Side/Yorkville",10128,99,"10128","24 - 35 months",4,471,443.68,2026,"Q2","DTaP",""
"Battery Park City",10280,42,"10280","24 - 35 months",4,56,134.74,2026,"Q2","DTaP",""
"Battery Park City",10282,81,"10282","24 - 35 months",4,95,116.84,2026,"Q2","DTaP",""
"Silver Lake/St. George",10301,77,"10301","24 - 35 months",4,300,390.6,2026,"Q2","DTaP",""
"Elm Park",10302,64,"10302","24 - 35 months",4,157,244,2026,"Q2","DTaP",""
"Graniteville/Mariner's Harbor/Port Ivory",10303,64,"10303","24 - 35 months",4,203,319.1,2026,"Q2","DTaP",""
"New Dorp/Todt Hill",10304,60,"10304","24 - 35 months",4,285,474.05,2026,"Q2","DTaP",""
"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze",10305,70,"10305","24 - 35 months",4,291,417.59,2026,"Q2","DTaP",""
"Lighthouse Hill/Midland Beach/New Dorp/Oakwood",10306,61,"10306","24 - 35 months",4,337,554.92,2026,"Q2","DTaP",""
"Tottenville",10307,46,"10307","24 - 35 months",4,65,141.45,2026,"Q2","DTaP",""
"Great Kills",10308,59,"10308","24 - 35 months",4,167,282.9,2026,"Q2","DTaP",""
"Charleston/Prince's Bay/Woodrow",10309,50,"10309","24 - 35 months",4,174,349.71,2026,"Q2","DTaP",""
"Port Richmond/Randall Manor/West Brighton",10310,69,"10310","24 - 35 months",4,205,298.22,2026,"Q2","DTaP",""
"Annadale/Rossville",10312,56,"10312","24 - 35 months",4,331,589.56,2026,"Q2","DTaP",""
"Bloomfield/Freshkills Park",10314,63,"10314","24 - 35 months",4,580,917.08,2026,"Q2","DTaP",""
"Concourse/Melrose",10451,91,"10451","24 - 35 months",4,524,574.64,2026,"Q2","DTaP",""
"Concourse/Highbridge",10452,68,"10452","24 - 35 months",4,710,1041.22,2026,"Q2","DTaP",""
"Morris Heights/Mount Hope/University Heights",10453,71,"10453","24 - 35 months",4,750,1049.75,2026,"Q2","DTaP",""
"Mott Haven/Port Morris",10454,71,"10454","24 - 35 months",4,375,525.43,2026,"Q2","DTaP",""
"Mott Haven",10455,74,"10455","24 - 35 months",4,398,540.21,2026,"Q2","DTaP",""
"Claremont/Morrisania",10456,71,"10456","24 - 35 months",4,818,1159.8,2026,"Q2","DTaP",""
"Belmont/Claremont/Mount Hope/Tremont",10457,71,"10457","24 - 35 months",4,776,1098.88,2026,"Q2","DTaP",""
"Belmont/Fordham University/Kingsbridge",10458,74,"10458","24 - 35 months",4,762,1033.11,2026,"Q2","DTaP",""
"Charlotte Gardens/Hunts Point",10459,63,"10459","24 - 35 months",4,436,693.52,2026,"Q2","DTaP",""
"Charlotte Gardens/Tremont/Van Nest/West Farms",10460,74,"10460","24 - 35 months",4,599,808.7,2026,"Q2","DTaP",""
"Morris Park/Pelham Bay/Westchester Square",10461,82,"10461","24 - 35 months",4,465,570.05,2026,"Q2","DTaP",""
"Parkchester/Pelham Parkway/Van Nest/Westchester Square",10462,81,"10462","24 - 35 months",4,725,892.77,2026,"Q2","DTaP",""
"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil",10463,74,"10463","24 - 35 months",4,559,759.09,2026,"Q2","DTaP",""
"City Island",10464,99,"10464","24 - 35 months",4,80,32.86,2026,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Country Club/Throgs Neck",10465,62,"10465","24 - 35 months",4,296,479.09,2026,"Q2","DTaP",""
"Edenwald/Wakefield",10466,62,"10466","24 - 35 months",4,484,778.12,2026,"Q2","DTaP",""
"Allerton/Norwood/Pelham Parkway/Williamsbridge",10467,78,"10467","24 - 35 months",4,916,1180.74,2026,"Q2","DTaP",""
"Fordham/Kingsbridge/University Heights",10468,66,"10468","24 - 35 months",4,681,1034.37,2026,"Q2","DTaP",""
"Allerton/Baychester/Pelham Gardens/Williamsbridge",10469,74,"10469","24 - 35 months",4,539,730.06,2026,"Q2","DTaP",""
"Wakefield/Woodlawn",10470,85,"10470","24 - 35 months",4,147,173.9,2026,"Q2","DTaP",""
"Fieldston/North Riverdale/Riverdale",10471,54,"10471","24 - 35 months",4,126,232.23,2026,"Q2","DTaP",""
"Soundview",10472,99,"10472","24 - 35 months",4,815,791.42,2026,"Q2","DTaP",""
"Castle Hill/Clason Point/Soundview",10473,80,"10473","24 - 35 months",4,443,556.92,2026,"Q2","DTaP",""
"Hunts Point",10474,75,"10474","24 - 35 months",4,116,154.08,2026,"Q2","DTaP",""
"Co-op City/Edenwald",10475,71,"10475","24 - 35 months",4,207,289.89,2026,"Q2","DTaP",""
"Bellerose/Douglaston-Little Neck",11004,99,"11004, 11005","24 - 35 months",4,204,148.48,2026,"Q2","DTaP",""
"Astoria (South)/Long Island City/Sunnyside",11101,99,"11101","24 - 35 months",4,650,367.72,2026,"Q2","DTaP",""
"Astoria (North)",11102,99,"11102","24 - 35 months",4,266,227.58,2026,"Q2","DTaP",""
"Astoria (North)/Astoria (South)",11103,78,"11103","24 - 35 months",4,211,271.42,2026,"Q2","DTaP",""
"Sunnyside",11104,68,"11104","24 - 35 months",4,164,242.43,2026,"Q2","DTaP",""
"Ditmars Steinway",11105,82,"11105","24 - 35 months",4,243,295.83,2026,"Q2","DTaP",""
"Astoria (South)",11106,87,"11106","24 - 35 months",4,286,327.25,2026,"Q2","DTaP",""
"Long Island City",11109,99,"11109","24 - 35 months",4,97,70.88,2026,"Q2","DTaP",""
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,99,"11201","24 - 35 months",4,786,747.89,2026,"Q2","DTaP",""
"East Flatbush (North)/East Flatbush (South)",11203,72,"11203","24 - 35 months",4,460,635.77,2026,"Q2","DTaP",""
"Bensonhurst/Mapleton",11204,61,"11204","24 - 35 months",4,678,1110.31,2026,"Q2","DTaP",""
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,35,"11205","24 - 35 months",4,346,989.73,2026,"Q2","DTaP",""
"Williamsburg (South)",11206,36,"11206","24 - 35 months",4,511,1430.1,2026,"Q2","DTaP",""
"Cypress Hills/East New York",11207,74,"11207","24 - 35 months",4,788,1065.52,2026,"Q2","DTaP",""
"Cypress Hills/East New York",11208,75,"11208","24 - 35 months",4,898,1189.57,2026,"Q2","DTaP",""
"Bay Ridge/Fort Hamilton",11209,65,"11209","24 - 35 months",4,452,699.46,2026,"Q2","DTaP",""
"Flatlands/Midwood",11210,71,"11210","24 - 35 months",4,483,675.7,2026,"Q2","DTaP",""
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,37,"11211, 11249","24 - 35 months",4,708,1907.34,2026,"Q2","DTaP",""
"Ocean Hill-Brownsville",11212,69,"11212","24 - 35 months",4,677,975.42,2026,"Q2","DTaP",""
"Crown Heights (East)",11213,45,"11213","24 - 35 months",4,422,928.38,2026,"Q2","DTaP",""
"Bath Beach/Bensonhurst/Gravesend",11214,81,"11214","24 - 35 months",4,719,889.02,2026,"Q2","DTaP",""
"Gowanus/Park Slope/Windsor Terrace",11215,87,"11215","24 - 35 months",4,735,845.78,2026,"Q2","DTaP",""
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,65,"11216","24 - 35 months",4,332,510.84,2026,"Q2","DTaP",""
"Boerum Hill/Park Slope",11217,88,"11217, 11243","24 - 35 months",4,404,459.14,2026,"Q2","DTaP",""
"Kensington/Windsor Terrace",11218,64,"11218","24 - 35 months",4,630,988.87,2026,"Q2","DTaP",""
"Borough Park",11219,39,"11219","24 - 35 months",4,813,2103.87,2026,"Q2","DTaP",""
"Sunset Park",11220,79,"11220","24 - 35 months",4,832,1057.51,2026,"Q2","DTaP",""
"Bedford-Stuyvesant (East)/Bushwick",11221,56,"11221","24 - 35 months",4,481,856.1,2026,"Q2","DTaP",""
"Greenpoint",11222,99,"11222","24 - 35 months",4,411,263.02,2026,"Q2","DTaP",""
"Gravesend/Homecrest",11223,73,"11223","24 - 35 months",4,640,882.31,2026,"Q2","DTaP",""
"Brighton Beach/Coney Island/Seagate",11224,62,"11224","24 - 35 months",4,246,396.09,2026,"Q2","DTaP",""
"Crown Heights (West)/Prospect Lefferts Gardens",11225,59,"11225","24 - 35 months",4,382,651.17,2026,"Q2","DTaP",""
"Flatbush/Prospect Lefferts Gardens",11226,68,"11226","24 - 35 months",4,698,1031.22,2026,"Q2","DTaP",""
"Bath Beach/Dyker Heights",11228,73,"11228","24 - 35 months",4,287,394.27,2026,"Q2","DTaP",""
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,71,"11229","24 - 35 months",4,556,786.25,2026,"Q2","DTaP",""
"Midwood",11230,70,"11230","24 - 35 months",4,853,1225.35,2026,"Q2","DTaP",""
"Carroll Gardens/Cobble Hill/Red Hook",11231,73,"11231","24 - 35 months",4,370,508.24,2026,"Q2","DTaP",""
"Sunset Park",11232,66,"11232","24 - 35 months",4,201,305.44,2026,"Q2","DTaP",""
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,49,"11233","24 - 35 months",4,463,946.57,2026,"Q2","DTaP",""
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,63,"11234","24 - 35 months",4,529,839.56,2026,"Q2","DTaP",""
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,77,"11235","24 - 35 months",4,523,682.76,2026,"Q2","DTaP",""
"Canarsie",11236,68,"11236","24 - 35 months",4,567,839.19,2026,"Q2","DTaP",""
"Bushwick/East Williamsburg",11237,63,"11237","24 - 35 months",4,298,472.58,2026,"Q2","DTaP",""
"Clinton Hill/Prospect Heights",11238,94,"11238","24 - 35 months",4,565,598.96,2026,"Q2","DTaP",""
"East New York",11239,88,"11239","24 - 35 months",4,106,120.54,2026,"Q2","DTaP",""
"Flushing/Murray Hill",11354,80,"11354","24 - 35 months",4,319,399.74,2026,"Q2","DTaP",""
"Flushing/Murray Hill/Queensboro Hill",11355,82,"11355","24 - 35 months",4,514,624.23,2026,"Q2","DTaP",""
"College Point",11356,78,"11356","24 - 35 months",4,251,321.95,2026,"Q2","DTaP",""
"Whitestone",11357,67,"11357","24 - 35 months",4,247,370.24,2026,"Q2","DTaP",""
"Auburndale/Murray Hill",11358,84,"11358","24 - 35 months",4,263,314.34,2026,"Q2","DTaP",""
"Bayside (North)",11360,72,"11360","24 - 35 months",4,104,143.89,2026,"Q2","DTaP",""
"Bayside (North)/Bayside (South)",11361,72,"11361","24 - 35 months",4,187,259.85,2026,"Q2","DTaP",""
"Douglaston-Little Neck",11362,68,"11362","24 - 35 months",4,89,131.4,2026,"Q2","DTaP",""
"Douglaston-Little Neck",11363,91,"11363","24 - 35 months",4,44,48.35,2026,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
"Bayside (South)/Oakland Gardens",11364,70,"11364","24 - 35 months",4,204,289.49,2026,"Q2","DTaP",""
"Auburndale/Fresh Meadows/Pomonok/Utopia",11365,73,"11365","24 - 35 months",4,289,396.14,2026,"Q2","DTaP",""
"Fresh Meadows/Hillcrest",11366,82,"11366","24 - 35 months",4,79,96.35,2026,"Q2","DTaP",""
"Kew Gardens Hills/Pomonok",11367,70,"11367","24 - 35 months",4,419,598.31,2026,"Q2","DTaP",""
"Corona/North Corona",11368,83,"11368","24 - 35 months",4,1291,1553.3,2026,"Q2","DTaP",""
"Airport/East Elmhurst",11369,99,"11369","24 - 35 months",4,394,349.92,2026,"Q2","DTaP",""
"Jackson Heights/Rikers Island",11370,95,"11370","24 - 35 months",4,217,227.6,2026,"Q2","DTaP",""
"Jackson Heights",11372,77,"11372","24 - 35 months",4,523,677.27,2026,"Q2","DTaP",""
"Elmhurst",11373,78,"11373","24 - 35 months",4,808,1031.42,2026,"Q2","DTaP",""
"Rego Park",11374,89,"11374","24 - 35 months",4,357,403.23,2026,"Q2","DTaP",""
"Forest Hills",11375,70,"11375","24 - 35 months",4,501,715.58,2026,"Q2","DTaP",""
"Woodside",11377,85,"11377","24 - 35 months",4,674,792.67,2026,"Q2","DTaP",""
"Maspeth",11378,63,"11378","24 - 35 months",4,262,415.04,2026,"Q2","DTaP",""
"Middle Village",11379,66,"11379","24 - 35 months",4,226,340.52,2026,"Q2","DTaP",""
"Glendale/Ridgewood",11385,59,"11385","24 - 35 months",4,708,1194.66,2026,"Q2","DTaP",""
"Cambria Heights",11411,68,"11411","24 - 35 months",4,106,155.47,2026,"Q2","DTaP",""
"St. Albans",11412,72,"11412","24 - 35 months",4,269,375.65,2026,"Q2","DTaP",""
"Laurelton/Rosedale",11413,61,"11413","24 - 35 months",4,240,395.42,2026,"Q2","DTaP",""
"Hamilton Beach/Howard Beach/Lindenwood",11414,56,"11414","24 - 35 months",4,149,265.29,2026,"Q2","DTaP",""
"Kew Gardens",11415,65,"11415","24 - 35 months",4,141,217.99,2026,"Q2","DTaP",""
"Ozone Park",11416,93,"11416","24 - 35 months",4,267,286.16,2026,"Q2","DTaP",""
"Ozone Park",11417,92,"11417","24 - 35 months",4,279,302.72,2026,"Q2","DTaP",""
"Richmond Hill",11418,76,"11418","24 - 35 months",4,317,415.38,2026,"Q2","DTaP",""
"Richmond Hill/South Ozone Park",11419,81,"11419","24 - 35 months",4,361,446.68,2026,"Q2","DTaP",""
"South Ozone Park",11420,85,"11420","24 - 35 months",4,408,481.46,2026,"Q2","DTaP",""
"Woodhaven",11421,75,"11421","24 - 35 months",4,331,442.97,2026,"Q2","DTaP",""
"Rosedale",11422,61,"11422","24 - 35 months",4,193,314.16,2026,"Q2","DTaP",""
"Hollis/Holliswood",11423,99,"11423","24 - 35 months",4,241,241.2,2026,"Q2","DTaP",""
"Bellerose",11426,76,"11426","24 - 35 months",4,137,180.61,2026,"Q2","DTaP",""
"Bellerose/Hollis Hills/Holliswood",11427,60,"11427","24 - 35 months",4,134,222.39,2026,"Q2","DTaP",""
"Queens Village",11428,77,"11428","24 - 35 months",4,138,178.75,2026,"Q2","DTaP",""
"Queens Village",11429,99,"11001, 11429","24 - 35 months",4,297,243.69,2026,"Q2","DTaP",""
"Hillcrest/Jamaica Estates/Jamaica Hills",11432,97,"11432","24 - 35 months",4,604,624.26,2026,"Q2","DTaP",""
"Jamaica",11433,86,"11433","24 - 35 months",4,354,412.67,2026,"Q2","DTaP",""
"Airport/South Jamaica/Springfield Gardens/St. Albans",11434,75,"11434","24 - 35 months",4,525,699.07,2026,"Q2","DTaP",""
"Briarwood/Jamaica",11435,97,"11435","24 - 35 months",4,622,638.32,2026,"Q2","DTaP",""
"South Jamaica/South Ozone Park",11436,79,"11436","24 - 35 months",4,181,228.2,2026,"Q2","DTaP",""
"Edgemere/Far Rockaway",11691,59,"11691","24 - 35 months",4,620,1046.8,2026,"Q2","DTaP",""
"Arverne/Edgemere",11692,38,"11692","24 - 35 months",4,114,303.21,2026,"Q2","DTaP",""
"Arverne/Broad Channel",11693,55,"11693","24 - 35 months",4,75,136.3,2026,"Q2","DTaP",""
"Belle Harbor-Neponsit/Rockaway Park",11694,59,"11694","24 - 35 months",4,107,181.86,2026,"Q2","DTaP",""
"Breezy Point",11697,78,"11697","24 - 35 months",4,24,30.84,2026,"Q2","DTaP","Vaccination rate should be interpreted with caution due to small population estimate"
