"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Astoria (North)",11102,93,"11102","13 - 17 years",1138,1217.27,2020,"Q4","HPV",
"Astoria (North)/Astoria (South)",11103,67,"11103","13 - 17 years",919,1377.47,2020,"Q4","HPV",
"Sunnyside",11104,92,"11104","13 - 17 years",887,959.94,2020,"Q4","HPV",
"Ditmars Steinway",11105,57,"11105","13 - 17 years",798,1396.82,2020,"Q4","HPV",
"Astoria (South)",11106,81,"11106","13 - 17 years",1235,1515.52,2020,"Q4","HPV",
"Long Island City",11109,96,"11109","13 - 17 years",53,55.35,2020,"Q4","HPV",
"Brooklyn Heights/DUMBO/Downtown Brooklyn",11201,87,"11201","13 - 17 years",1555,1778.35,2020,"Q4","HPV",
"East Flatbush (North)/East Flatbush (South)",11203,65,"11203","13 - 17 years",2534,3888.28,2020,"Q4","HPV",
"Bensonhurst/Mapleton",11204,44,"11204","13 - 17 years",2443,5533.92,2020,"Q4","HPV",
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,48,"11205","13 - 17 years",1131,2353.54,2020,"Q4","HPV",
"Williamsburg (South)",11206,42,"11206","13 - 17 years",2601,6189.34,2020,"Q4","HPV",
"Cypress Hills/East New York",11207,72,"11207","13 - 17 years",4859,6740.63,2020,"Q4","HPV",
"Cypress Hills/East New York",11208,68,"11208","13 - 17 years",5420,7938.23,2020,"Q4","HPV",
"Bay Ridge/Fort Hamilton",11209,51,"11209","13 - 17 years",1756,3427.76,2020,"Q4","HPV",
"Flatlands/Midwood",11210,42,"11210","13 - 17 years",1846,4353.31,2020,"Q4","HPV",
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,20,"11211, 11249","13 - 17 years",1386,6815.39,2020,"Q4","HPV",
"Ocean Hill-Brownsville",11212,78,"11212","13 - 17 years",4696,5999.76,2020,"Q4","HPV",
"Crown Heights (East)",11213,45,"11213","13 - 17 years",2079,4588.21,2020,"Q4","HPV",
"Bath Beach/Bensonhurst/Gravesend",11214,70,"11214","13 - 17 years",3313,4756.86,2020,"Q4","HPV",
"Gowanus/Park Slope/Windsor Terrace",11215,83,"11215","13 - 17 years",2082,2516.65,2020,"Q4","HPV",
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,59,"11216","13 - 17 years",1430,2412.75,2020,"Q4","HPV",
"Boerum Hill/Park Slope",11217,80,"11217, 11243","13 - 17 years",1039,1294.77,2020,"Q4","HPV",
"Kensington/Windsor Terrace",11218,61,"11218","13 - 17 years",2917,4789.71,2020,"Q4","HPV",
"Borough Park",11219,47,"11219","13 - 17 years",3331,7139.92,2020,"Q4","HPV",
"Sunset Park",11220,99,"11220","13 - 17 years",7737,5038.78,2020,"Q4","HPV",
"Bedford-Stuyvesant (East)/Bushwick",11221,61,"11221","13 - 17 years",3098,5105.68,2020,"Q4","HPV",
"Greenpoint",11222,32,"11222","13 - 17 years",418,1287.38,2020,"Q4","HPV",
"Gravesend/Homecrest",11223,54,"11223","13 - 17 years",2567,4777.94,2020,"Q4","HPV",
"Brighton Beach/Coney Island/Seagate",11224,54,"11224","13 - 17 years",1499,2773.94,2020,"Q4","HPV",
"Crown Heights (West)/Prospect Lefferts Gardens",11225,56,"11225","13 - 17 years",1667,2991.22,2020,"Q4","HPV",
"Flatbush/Prospect Lefferts Gardens",11226,81,"11226","13 - 17 years",4216,5210.15,2020,"Q4","HPV",
"Bath Beach/Dyker Heights",11228,61,"11228","13 - 17 years",1540,2525.03,2020,"Q4","HPV",
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,39,"11229","13 - 17 years",1889,4793.7,2020,"Q4","HPV",
"Midwood",11230,38,"11230","13 - 17 years",2415,6374.27,2020,"Q4","HPV",
"Carroll Gardens/Cobble Hill/Red Hook",11231,93,"11231","13 - 17 years",1315,1421.07,2020,"Q4","HPV",
"Sunset Park",11232,99,"11232","13 - 17 years",1615,1366.88,2020,"Q4","HPV",
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,55,"11233","13 - 17 years",2768,5070.16,2020,"Q4","HPV",
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,43,"11234","13 - 17 years",2337,5425.37,2020,"Q4","HPV",
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,49,"11235","13 - 17 years",1794,3669.6,2020,"Q4","HPV",
"Canarsie",11236,57,"11236","13 - 17 years",3513,6182.89,2020,"Q4","HPV",
"Bushwick/East Williamsburg",11237,97,"11237","13 - 17 years",2368,2450.06,2020,"Q4","HPV",
"Clinton Hill/Prospect Heights",11238,94,"11238","13 - 17 years",1372,1465.21,2020,"Q4","HPV",
"East New York",11239,57,"11239","13 - 17 years",519,904.29,2020,"Q4","HPV",
"Flushing/Murray Hill",11354,99,"11354","13 - 17 years",2077,1987.46,2020,"Q4","HPV",
"Flushing/Murray Hill/Queensboro Hill",11355,99,"11355","13 - 17 years",4314,3101.56,2020,"Q4","HPV",
"College Point",11356,77,"11356","13 - 17 years",1207,1559.43,2020,"Q4","HPV",
"Whitestone",11357,54,"11357","13 - 17 years",1142,2116.68,2020,"Q4","HPV",
"Auburndale/Murray Hill",11358,71,"11358","13 - 17 years",1334,1873.55,2020,"Q4","HPV",
"Bayside (North)",11360,60,"11360","13 - 17 years",484,808.42,2020,"Q4","HPV",
"Bayside (North)/Bayside (South)",11361,60,"11361","13 - 17 years",959,1611.11,2020,"Q4","HPV",
"Douglaston-Little Neck",11362,56,"11362","13 - 17 years",522,935.51,2020,"Q4","HPV",
"Douglaston-Little Neck",11363,52,"11363","13 - 17 years",221,421.53,2020,"Q4","HPV",
"Bayside (South)/Oakland Gardens",11364,59,"11364","13 - 17 years",1258,2137.67,2020,"Q4","HPV",
"Auburndale/Fresh Meadows/Pomonok/Utopia",11365,69,"11365","13 - 17 years",1753,2557.48,2020,"Q4","HPV",
"Fresh Meadows/Hillcrest",11366,64,"11366","13 - 17 years",476,743.32,2020,"Q4","HPV",
"Kew Gardens Hills/Pomonok",11367,60,"11367","13 - 17 years",1298,2176.97,2020,"Q4","HPV",
"Corona/North Corona",11368,99,"11368","13 - 17 years",7999,6362.02,2020,"Q4","HPV",
"Airport/East Elmhurst",11369,99,"11369","13 - 17 years",2141,1909.01,2020,"Q4","HPV",
"Jackson Heights/Rikers Island",11370,98,"11370","13 - 17 years",1323,1351.85,2020,"Q4","HPV",
"Jackson Heights",11372,99,"11372","13 - 17 years",3340,2788.74,2020,"Q4","HPV",
"Elmhurst",11373,99,"11373","13 - 17 years",5620,4662.53,2020,"Q4","HPV",
"Rego Park",11374,72,"11374","13 - 17 years",1260,1753.62,2020,"Q4","HPV",
"Forest Hills",11375,64,"11375","13 - 17 years",1647,2574.3,2020,"Q4","HPV",
"Woodside",11377,99,"11377","13 - 17 years",4039,3952.67,2020,"Q4","HPV",
"Maspeth",11378,54,"11378","13 - 17 years",1195,2202,2020,"Q4","HPV",
