"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"East Flatbush (North)/East Flatbush (South)",11203,35,"11203","6 months - 17 years",4285,12127.3,"2022 - 23","Q2","Flu",
"Bensonhurst/Mapleton",11204,39,"11204","6 months - 17 years",7889,20157.75,"2022 - 23","Q2","Flu",
"Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene",11205,25,"11205","6 months - 17 years",3106,12511.26,"2022 - 23","Q2","Flu",
"Williamsburg (South)",11206,20,"11206","6 months - 17 years",4819,23738.06,"2022 - 23","Q2","Flu",
"Cypress Hills/East New York",11207,34,"11207","6 months - 17 years",7166,20856.05,"2022 - 23","Q2","Flu",
"Cypress Hills/East New York",11208,39,"11208","6 months - 17 years",9606,24696.23,"2022 - 23","Q2","Flu",
"Bay Ridge/Fort Hamilton",11209,39,"11209","6 months - 17 years",4889,12409.88,"2022 - 23","Q2","Flu",
"Flatlands/Midwood",11210,31,"11210","6 months - 17 years",4314,14039.42,"2022 - 23","Q2","Flu",
"East Williamsburg/Williamsburg (North)/Williamsburg (South)",11211,20,"11211, 11249","6 months - 17 years",5249,26652.15,"2022 - 23","Q2","Flu",
"Ocean Hill-Brownsville",11212,38,"11212","6 months - 17 years",6821,18185.45,"2022 - 23","Q2","Flu",
"Crown Heights (East)",11213,23,"11213","6 months - 17 years",3576,15391.62,"2022 - 23","Q2","Flu",
"Bath Beach/Bensonhurst/Gravesend",11214,55,"11214","6 months - 17 years",9375,17050.15,"2022 - 23","Q2","Flu",
"Gowanus/Park Slope/Windsor Terrace",11215,75,"11215","6 months - 17 years",8668,11573.39,"2022 - 23","Q2","Flu",
"Bedford-Stuyvesant (West)/Crown Heights (West)",11216,32,"11216","6 months - 17 years",2712,8528.31,"2022 - 23","Q2","Flu",
"Boerum Hill/Park Slope",11217,64,"11217, 11243","6 months - 17 years",3627,5656.19,"2022 - 23","Q2","Flu",
"Kensington/Windsor Terrace",11218,44,"11218","6 months - 17 years",8057,18182.03,"2022 - 23","Q2","Flu",
"Borough Park",11219,36,"11219","6 months - 17 years",10882,30449.76,"2022 - 23","Q2","Flu",
"Sunset Park",11220,95,"11220","6 months - 17 years",17976,18881.51,"2022 - 23","Q2","Flu",
"Bedford-Stuyvesant (East)/Bushwick",11221,33,"11221","6 months - 17 years",5353,16161.37,"2022 - 23","Q2","Flu",
"Greenpoint",11222,53,"11222","6 months - 17 years",2234,4226.11,"2022 - 23","Q2","Flu",
"Gravesend/Homecrest",11223,46,"11223","6 months - 17 years",7789,16961.17,"2022 - 23","Q2","Flu",
"Brighton Beach/Coney Island/Seagate",11224,34,"11224","6 months - 17 years",2744,8074.13,"2022 - 23","Q2","Flu",
"Crown Heights (West)/Prospect Lefferts Gardens",11225,31,"11225","6 months - 17 years",3340,10659.62,"2022 - 23","Q2","Flu",
"Flatbush/Prospect Lefferts Gardens",11226,41,"11226","6 months - 17 years",7264,17552.02,"2022 - 23","Q2","Flu",
"Bath Beach/Dyker Heights",11228,51,"11228","6 months - 17 years",4426,8621.64,"2022 - 23","Q2","Flu",
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,38,"11229","6 months - 17 years",6038,15962.76,"2022 - 23","Q2","Flu",
"Midwood",11230,36,"11230","6 months - 17 years",8037,22446.91,"2022 - 23","Q2","Flu",
"Carroll Gardens/Cobble Hill/Red Hook",11231,67,"11231","6 months - 17 years",4254,6365.06,"2022 - 23","Q2","Flu",
"Sunset Park",11232,67,"11232","6 months - 17 years",3411,5085.68,"2022 - 23","Q2","Flu",
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,27,"11233","6 months - 17 years",4451,16548.07,"2022 - 23","Q2","Flu",
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,31,"11234","6 months - 17 years",5531,17736.06,"2022 - 23","Q2","Flu",
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,40,"11235","6 months - 17 years",5136,12982.72,"2022 - 23","Q2","Flu",
"Canarsie",11236,31,"11236","6 months - 17 years",5571,17991.06,"2022 - 23","Q2","Flu",
"Bushwick/East Williamsburg",11237,53,"11237","6 months - 17 years",4504,8546.49,"2022 - 23","Q2","Flu",
"Clinton Hill/Prospect Heights",11238,66,"11238","6 months - 17 years",4578,6938.8,"2022 - 23","Q2","Flu",
