"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","DOSES","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","Notes"
"Kensington/Windsor Terrace",11218,50,"11218","6 months - 4 years",1,2313,4596.08,"2023 - 24","Q4","Flu",
"Borough Park",11219,42,"11219","6 months - 4 years",1,4030,9562.82,"2023 - 24","Q4","Flu",
"Sunset Park",11220,69,"11220","6 months - 4 years",1,3532,5131.35,"2023 - 24","Q4","Flu",
"Bedford-Stuyvesant (East)/Bushwick",11221,37,"11221","6 months - 4 years",1,1465,4004.41,"2023 - 24","Q4","Flu",
"Greenpoint",11222,88,"11222","6 months - 4 years",1,1003,1142.75,"2023 - 24","Q4","Flu",
"Gravesend/Homecrest",11223,56,"11223","6 months - 4 years",1,2296,4117.34,"2023 - 24","Q4","Flu",
"Brighton Beach/Coney Island/Seagate",11224,40,"11224","6 months - 4 years",1,714,1783.68,"2023 - 24","Q4","Flu",
"Crown Heights (West)/Prospect Lefferts Gardens",11225,41,"11225","6 months - 4 years",1,1210,2918.46,"2023 - 24","Q4","Flu",
"Flatbush/Prospect Lefferts Gardens",11226,42,"11226","6 months - 4 years",1,1950,4657.8,"2023 - 24","Q4","Flu",
"Bath Beach/Dyker Heights",11228,54,"11228","6 months - 4 years",1,1006,1847.51,"2023 - 24","Q4","Flu",
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,52,"11229","6 months - 4 years",1,1908,3694.28,"2023 - 24","Q4","Flu",
"Midwood",11230,50,"11230","6 months - 4 years",1,2796,5611.59,"2023 - 24","Q4","Flu",
"Carroll Gardens/Cobble Hill/Red Hook",11231,55,"11231","6 months - 4 years",1,1224,2224.41,"2023 - 24","Q4","Flu",
"Sunset Park",11232,51,"11232","6 months - 4 years",1,721,1417.95,"2023 - 24","Q4","Flu",
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,26,"11233","6 months - 4 years",1,1128,4380.01,"2023 - 24","Q4","Flu",
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,41,"11234","6 months - 4 years",1,1593,3922.49,"2023 - 24","Q4","Flu",
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,54,"11235","6 months - 4 years",1,1728,3207.13,"2023 - 24","Q4","Flu",
"Canarsie",11236,37,"11236","6 months - 4 years",1,1402,3820.99,"2023 - 24","Q4","Flu",
"Bushwick/East Williamsburg",11237,49,"11237","6 months - 4 years",1,1066,2196.41,"2023 - 24","Q4","Flu",
"Clinton Hill/Prospect Heights",11238,68,"11238","6 months - 4 years",1,1774,2613.48,"2023 - 24","Q4","Flu",
"East New York",11239,49,"11239","6 months - 4 years",1,266,539.72,"2023 - 24","Q4","Flu",
"Flushing/Murray Hill",11354,77,"11354","6 months - 4 years",1,1365,1774.1,"2023 - 24","Q4","Flu",
"Flushing/Murray Hill/Queensboro Hill",11355,87,"11355","6 months - 4 years",1,2502,2887.15,"2023 - 24","Q4","Flu",
"College Point",11356,51,"11356","6 months - 4 years",1,739,1458.3,"2023 - 24","Q4","Flu",
"Whitestone",11357,51,"11357","6 months - 4 years",1,857,1675.64,"2023 - 24","Q4","Flu",
"Auburndale/Murray Hill",11358,65,"11358","6 months - 4 years",1,956,1464.94,"2023 - 24","Q4","Flu",
"Bayside (North)",11360,54,"11360","6 months - 4 years",1,368,682.77,"2023 - 24","Q4","Flu",
"Bayside (North)/Bayside (South)",11361,54,"11361","6 months - 4 years",1,645,1191.63,"2023 - 24","Q4","Flu",
"Douglaston-Little Neck",11362,54,"11362","6 months - 4 years",1,355,660.22,"2023 - 24","Q4","Flu",
"Douglaston-Little Neck",11363,51,"11363","6 months - 4 years",1,126,245.11,"2023 - 24","Q4","Flu",
