"NEIGHBORHOOD_NAME","MODZCTA","PERC_VAC","LABEL","AGE_GROUP","COUNT_PEOPLE_VAC","POP_DENOMINATOR","YEAR_COVERAGE","QUARTER","VACCINE_GROUP","NOTES"
"Crown Heights (West)/Prospect Lefferts Gardens",11225,16,"11225","13 - 17 years",465,2851.86,"2021 - 22","Q4","Flu",
"Flatbush/Prospect Lefferts Gardens",11226,26,"11226","13 - 17 years",1296,4898.63,"2021 - 22","Q4","Flu",
"Bath Beach/Dyker Heights",11228,42,"11228","13 - 17 years",1033,2486.36,"2021 - 22","Q4","Flu",
"Gerritsen Beach/Homecrest/Sheepshead Bay",11229,21,"11229","13 - 17 years",983,4713.67,"2021 - 22","Q4","Flu",
"Midwood",11230,20,"11230","13 - 17 years",1252,6281.8,"2021 - 22","Q4","Flu",
"Carroll Gardens/Cobble Hill/Red Hook",11231,46,"11231","13 - 17 years",629,1381.51,"2021 - 22","Q4","Flu",
"Sunset Park",11232,56,"11232","13 - 17 years",746,1331.3,"2021 - 22","Q4","Flu",
"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville",11233,16,"11233","13 - 17 years",737,4753.98,"2021 - 22","Q4","Flu",
"Bergen Beach/Flatlands/Marine Park/Mill Basin",11234,19,"11234","13 - 17 years",1014,5207.69,"2021 - 22","Q4","Flu",
"Brighton Beach/Manhattan Beach/Sheepshead Bay",11235,23,"11235","13 - 17 years",829,3637.04,"2021 - 22","Q4","Flu",
"Canarsie",11236,18,"11236","13 - 17 years",1049,5753.96,"2021 - 22","Q4","Flu",
"Bushwick/East Williamsburg",11237,38,"11237","13 - 17 years",896,2367.77,"2021 - 22","Q4","Flu",
"Clinton Hill/Prospect Heights",11238,41,"11238","13 - 17 years",577,1409.9,"2021 - 22","Q4","Flu",
"East New York",11239,17,"11239","13 - 17 years",140,847.43,"2021 - 22","Q4","Flu",
"Flushing/Murray Hill",11354,62,"11354","13 - 17 years",1179,1911.51,"2021 - 22","Q4","Flu",
"Flushing/Murray Hill/Queensboro Hill",11355,78,"11355","13 - 17 years",2317,2982.94,"2021 - 22","Q4","Flu",
"College Point",11356,41,"11356","13 - 17 years",616,1509,"2021 - 22","Q4","Flu",
"Whitestone",11357,34,"11357","13 - 17 years",701,2039.48,"2021 - 22","Q4","Flu",
"Auburndale/Murray Hill",11358,48,"11358","13 - 17 years",869,1808.27,"2021 - 22","Q4","Flu",
"Bayside (North)",11360,45,"11360","13 - 17 years",349,778.39,"2021 - 22","Q4","Flu",
"Bayside (North)/Bayside (South)",11361,40,"11361","13 - 17 years",616,1548.91,"2021 - 22","Q4","Flu",
"Douglaston-Little Neck",11362,43,"11362","13 - 17 years",389,899.51,"2021 - 22","Q4","Flu",
"Douglaston-Little Neck",11363,29,"11363","13 - 17 years",117,404,"2021 - 22","Q4","Flu",
"Bayside (South)/Oakland Gardens",11364,42,"11364","13 - 17 years",858,2059.94,"2021 - 22","Q4","Flu",
"Auburndale/Fresh Meadows/Pomonok/Utopia",11365,44,"11365","13 - 17 years",1071,2452.8,"2021 - 22","Q4","Flu",
"Fresh Meadows/Hillcrest",11366,38,"11366","13 - 17 years",269,716.31,"2021 - 22","Q4","Flu",
"Kew Gardens Hills/Pomonok",11367,32,"11367","13 - 17 years",671,2093.42,"2021 - 22","Q4","Flu",
"Corona/North Corona",11368,53,"11368","13 - 17 years",3251,6157.56,"2021 - 22","Q4","Flu",
"Airport/East Elmhurst",11369,47,"11369","13 - 17 years",859,1842.93,"2021 - 22","Q4","Flu",
"Jackson Heights/Rikers Island",11370,44,"11370","13 - 17 years",569,1304.28,"2021 - 22","Q4","Flu",
"Jackson Heights",11372,56,"11372","13 - 17 years",1523,2704.16,"2021 - 22","Q4","Flu",
"Elmhurst",11373,61,"11373","13 - 17 years",2764,4508.02,"2021 - 22","Q4","Flu",
"Rego Park",11374,33,"11374","13 - 17 years",558,1698.14,"2021 - 22","Q4","Flu",
"Forest Hills",11375,40,"11375","13 - 17 years",1001,2485.2,"2021 - 22","Q4","Flu",
"Woodside",11377,49,"11377","13 - 17 years",1866,3817.08,"2021 - 22","Q4","Flu",
"Maspeth",11378,28,"11378","13 - 17 years",589,2128.47,"2021 - 22","Q4","Flu",
"Middle Village",11379,25,"11379","13 - 17 years",458,1856.65,"2021 - 22","Q4","Flu",
"Glendale/Ridgewood",11385,20,"11385","13 - 17 years",1320,6511.8,"2021 - 22","Q4","Flu",
"Cambria Heights",11411,15,"11411","13 - 17 years",155,1013.15,"2021 - 22","Q4","Flu",
"St. Albans",11412,20,"11412","13 - 17 years",442,2255.77,"2021 - 22","Q4","Flu",
"Laurelton/Rosedale",11413,17,"11413","13 - 17 years",417,2498.57,"2021 - 22","Q4","Flu",
"Hamilton Beach/Howard Beach/Lindenwood",11414,21,"11414","13 - 17 years",319,1530.36,"2021 - 22","Q4","Flu",
"Kew Gardens",11415,31,"11415","13 - 17 years",268,855.64,"2021 - 22","Q4","Flu",
"Ozone Park",11416,29,"11416","13 - 17 years",551,1924.47,"2021 - 22","Q4","Flu",
"Ozone Park",11417,30,"11417","13 - 17 years",615,2066.28,"2021 - 22","Q4","Flu",
"Richmond Hill",11418,37,"11418","13 - 17 years",816,2184.04,"2021 - 22","Q4","Flu",
"Richmond Hill/South Ozone Park",11419,34,"11419","13 - 17 years",1004,2931.65,"2021 - 22","Q4","Flu",
"South Ozone Park",11420,27,"11420","13 - 17 years",834,3123.42,"2021 - 22","Q4","Flu",
