DATE_CREATED,AGE_GROUP,DOB_RANGE,VACCINE_GROUP,DOSES,YEAR_COVERAGE,QUARTER,BOROUGH,MODZCTA,LABEL,NEIGHBORHOOD_NAME,POP_DENOMINATOR_YEAR,POP_DENOMINATOR,COUNT_PEOPLE_VAC,PERC_VAC
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Queens,11102,11102,Astoria (North),2025 Vintage Estimates for 2024,227.58,225,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Queens,11103,11103,Astoria (North)/Astoria (South),2025 Vintage Estimates for 2024,271.42,180,66
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Queens,11104,11104,Sunnyside,2025 Vintage Estimates for 2024,242.43,147,61
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Queens,11105,11105,Ditmars Steinway,2025 Vintage Estimates for 2024,295.83,197,67
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Queens,11106,11106,Astoria (South),2025 Vintage Estimates for 2024,327.25,232,71
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Queens,11109,11109,Long Island City,2025 Vintage Estimates for 2024,70.88,78,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11201,11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,2025 Vintage Estimates for 2024,747.89,717,96
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11203,11203,East Flatbush (North)/East Flatbush (South),2025 Vintage Estimates for 2024,635.77,371,58
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11204,11204,Bensonhurst/Mapleton,2025 Vintage Estimates for 2024,1110.31,464,42
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11205,11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,2025 Vintage Estimates for 2024,989.73,238,24
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11206,11206,Williamsburg (South),2025 Vintage Estimates for 2024,1430.1,367,26
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11207,11207,Cypress Hills/East New York,2025 Vintage Estimates for 2024,1065.52,679,64
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11208,11208,Cypress Hills/East New York,2025 Vintage Estimates for 2024,1189.57,779,65
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11209,11209,Bay Ridge/Fort Hamilton,2025 Vintage Estimates for 2024,699.46,362,52
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11210,11210,Flatlands/Midwood,2025 Vintage Estimates for 2024,675.7,385,57
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11211,"11211, 11249",East Williamsburg/Williamsburg (North)/Williamsburg (South),2025 Vintage Estimates for 2024,1907.34,516,27
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11212,11212,Ocean Hill-Brownsville,2025 Vintage Estimates for 2024,975.42,562,58
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11213,11213,Crown Heights (East),2025 Vintage Estimates for 2024,928.38,327,35
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11214,11214,Bath Beach/Bensonhurst/Gravesend,2025 Vintage Estimates for 2024,889.02,553,62
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11215,11215,Gowanus/Park Slope/Windsor Terrace,2025 Vintage Estimates for 2024,845.78,672,79
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11216,11216,Bedford-Stuyvesant (West)/Crown Heights (West),2025 Vintage Estimates for 2024,510.84,284,56
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11217,"11217, 11243",Boerum Hill/Park Slope,2025 Vintage Estimates for 2024,459.14,372,81
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11218,11218,Kensington/Windsor Terrace,2025 Vintage Estimates for 2024,988.87,495,50
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11219,11219,Borough Park,2025 Vintage Estimates for 2024,2103.87,451,21
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11220,11220,Sunset Park,2025 Vintage Estimates for 2024,1057.51,757,72
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11221,11221,Bedford-Stuyvesant (East)/Bushwick,2025 Vintage Estimates for 2024,856.1,425,50
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11222,11222,Greenpoint,2025 Vintage Estimates for 2024,263.02,346,99
8/9/2026,24 - 35 months,07/01/2023 - 06/30/2024,4313314,4:3:1:3:3:1:4,2026,Q2,Brooklyn,11223,11223,Gravesend/Homecrest,2025 Vintage Estimates for 2024,882.31,466,53
